manuscript_id,scenario,scheduler,zone,alarm_rtt_mean_ms,alarm_rtt_ci95_ms,routine_rtt_mean_ms,routine_rtt_ci95_ms,n
C3,c3_multi_zone_emergency,fifo,0,nan,nan,4413.422768109999,130.60674884078225,600
C3,c3_multi_zone_emergency,fifo,1,nan,nan,2869.4176698033334,129.3682315620558,600
C3,c3_multi_zone_emergency,fifo,2,3659.2695372999997,240.5564208018708,3047.4445318783332,127.20366387640668,690
C3,c3_multi_zone_emergency,fifo,3,nan,nan,2832.554669931667,130.97515537810324,600
C3,c3_multi_zone_emergency,fifo,4,4078.740997088888,247.34547037491348,3796.487637965,129.12745184273686,690
C3,c3_multi_zone_emergency,fifo,5,nan,nan,4093.810022938333,127.65498794314783,600
C3,c3_multi_zone_emergency,strict,0,nan,nan,255.69809022500002,11.648014458980159,600
C3,c3_multi_zone_emergency,strict,1,nan,nan,473.7021486833333,19.392237007789088,600
C3,c3_multi_zone_emergency,strict,2,603.9693686,97.77048204783804,970.6248492233333,7.978987131711579,690
C3,c3_multi_zone_emergency,strict,3,nan,nan,1432.0779861250003,10.85755689053894,600
C3,c3_multi_zone_emergency,strict,4,5259.569228633332,406.46970022930225,3990.153577685,136.97909408614584,690
C3,c3_multi_zone_emergency,strict,5,nan,nan,14158.824173611667,368.10656652929407,600
C3,c3_multi_zone_emergency,wfq,0,nan,nan,1054.49559101,82.04550471545579,600
C3,c3_multi_zone_emergency,wfq,1,nan,nan,1794.09625112,100.39378887222345,600
C3,c3_multi_zone_emergency,wfq,2,2392.2097436555555,313.3898204864053,2977.0508168266665,114.45643287556886,690
C3,c3_multi_zone_emergency,wfq,3,nan,nan,4028.0148476183335,133.6668293603804,600
C3,c3_multi_zone_emergency,wfq,4,5290.8357453,321.0710903718683,4986.104769605,141.92632965027042,690
C3,c3_multi_zone_emergency,wfq,5,nan,nan,6127.839040418334,168.07291828858436,600
C3,c3_multi_zone_emergency,drr,0,nan,nan,4345.308547074999,137.44666105423948,600
C3,c3_multi_zone_emergency,drr,1,nan,nan,2996.2305617133334,132.23426926195236,600
C3,c3_multi_zone_emergency,drr,2,2413.7409282666667,22.059816120781615,3105.3863510783335,131.27110612649685,690
C3,c3_multi_zone_emergency,drr,3,nan,nan,2882.756022283333,133.1656374411314,600
C3,c3_multi_zone_emergency,drr,4,2601.6217945444446,22.24718349986745,3919.2632142683337,131.76801535033565,690
C3,c3_multi_zone_emergency,drr,5,nan,nan,4214.04587936,131.2678527028013,600
C3,c3_multi_zone_emergency,tbp,0,nan,nan,553.5650231733334,8.118411264384537,600
C3,c3_multi_zone_emergency,tbp,1,nan,nan,167.29259877500002,8.251606399054596,600
C3,c3_multi_zone_emergency,tbp,2,974.4735194555554,91.32936099558545,1209.3312409216667,17.290329900236173,690
C3,c3_multi_zone_emergency,tbp,3,nan,nan,1126.1192893416667,18.338157101980222,600
C3,c3_multi_zone_emergency,tbp,4,10241.920214344444,266.816214090903,8253.678954693334,255.1693898919986,690
C3,c3_multi_zone_emergency,tbp,5,nan,nan,9137.561148466666,228.8572609699965,600
C3,c3_multi_zone_emergency,triage4,0,nan,nan,414.21221792833336,19.423553938457264,600
C3,c3_multi_zone_emergency,triage4,1,nan,nan,393.31728116999994,20.777527924791222,600
C3,c3_multi_zone_emergency,triage4,2,73.67289016666666,4.803825853838164,1054.2434307283334,16.78970846833657,690
C3,c3_multi_zone_emergency,triage4,3,nan,nan,1494.6994241833333,16.796388335290903,600
C3,c3_multi_zone_emergency,triage4,4,263.5142707333333,4.8438013093048475,8845.229851023332,269.31186193977214,690
C3,c3_multi_zone_emergency,triage4,5,nan,nan,9923.092743143334,254.04614224582267,600
R3,r3_legit_extreme_emergency,fifo,0,4822.534980994445,456.98754741668654,6251.375469090668,160.15128474290674,1680
R3,r3_legit_extreme_emergency,fifo,1,4159.543938016666,455.63932988714134,6228.556463797333,159.1644782064631,1680
R3,r3_legit_extreme_emergency,fifo,2,4346.362636144444,455.4755449566278,6290.413069571334,158.96887839805154,1680
R3,r3_legit_extreme_emergency,fifo,3,4501.880728844445,454.94125703549173,6338.461278926,159.63529220189957,1680
R3,r3_legit_extreme_emergency,fifo,4,4303.4973578,641.9946522975165,6357.722280655333,159.6085367211589,1590
R3,r3_legit_extreme_emergency,fifo,5,4614.925972800001,640.3841998857182,6392.572237622,158.96805005475636,1590
R3,r3_legit_extreme_emergency,strict,0,145.32387365,13.31158298112828,94.06167219066667,3.0533387755573704,1680
R3,r3_legit_extreme_emergency,strict,1,442.5086413166667,23.612114776798276,168.49809426000002,5.142152144648432,1680
R3,r3_legit_extreme_emergency,strict,2,1124.9613520055557,22.48453077907297,288.74491634866666,14.119621034729333,1680
R3,r3_legit_extreme_emergency,strict,3,2397.7099045222226,27.747783321596863,985.961592956,44.09546090775739,1680
R3,r3_legit_extreme_emergency,strict,4,12984.846252066667,1189.5417912145751,13157.248591914,251.91783039695616,1590
R3,r3_legit_extreme_emergency,strict,5,26794.473644822225,1325.2843156786694,22787.70445573533,342.16553225191944,1590
R3,r3_legit_extreme_emergency,wfq,0,1649.485406111111,305.61081236294433,3159.859963188667,140.8023614072135,1680
R3,r3_legit_extreme_emergency,wfq,1,2350.809432366667,385.34035068218753,4292.015760031999,154.17846369200774,1680
R3,r3_legit_extreme_emergency,wfq,2,3547.0269411111117,430.2990299023026,5851.846423043333,144.33371057969106,1680
R3,r3_legit_extreme_emergency,wfq,3,4771.296669255556,466.59364323200043,7015.215069004667,151.0055910957433,1680
R3,r3_legit_extreme_emergency,wfq,4,5977.700001911111,740.394939615475,8365.597512964667,153.40778230943616,1590
R3,r3_legit_extreme_emergency,wfq,5,7293.345626944443,785.4043767663703,9633.442400084667,147.70954343774804,1590
R3,r3_legit_extreme_emergency,drr,0,1596.7620743666666,88.94915550809401,6530.604633492667,161.29131425360043,1680
R3,r3_legit_extreme_emergency,drr,1,1047.2716830944446,82.18319713139819,6550.339990005999,159.86701609549752,1680
R3,r3_legit_extreme_emergency,drr,2,1242.1320982722223,87.46867889353307,6605.647587136666,159.55738300661002,1680
R3,r3_legit_extreme_emergency,drr,3,1366.8829605666665,88.60388003296218,6606.735329775333,159.5485131263859,1680
R3,r3_legit_extreme_emergency,drr,4,1148.7881801555557,96.02823819229323,6655.706019409334,159.55765242129436,1590
R3,r3_legit_extreme_emergency,drr,5,1514.7399919666666,105.59836699889581,6660.467335792666,159.63414715446552,1590
R3,r3_legit_extreme_emergency,tbp,0,377.90724768333337,17.716668496162875,143.64723523133333,5.141191145920813,1680
R3,r3_legit_extreme_emergency,tbp,1,184.74626237222222,16.659192099215872,154.88354407933332,4.245606023684132,1680
R3,r3_legit_extreme_emergency,tbp,2,1324.028465688889,31.187806012122213,639.2339365073334,25.89426625909443,1680
R3,r3_legit_extreme_emergency,tbp,3,1516.651509488889,33.7939935319349,747.974506492,29.122388728806317,1680
R3,r3_legit_extreme_emergency,tbp,4,15712.736695388889,1435.9685090556702,19394.31919001133,187.71423123398895,1590
R3,r3_legit_extreme_emergency,tbp,5,16055.300001544445,1369.5990564789104,19732.004194629335,175.93319933509338,1590
R3,r3_legit_extreme_emergency,triage4,0,658.4569356611112,46.86038016851697,220.00756844666665,16.504584693909777,1680
R3,r3_legit_extreme_emergency,triage4,1,533.1233868055557,47.57485907146101,316.295849534,18.00729838466167,1680
R3,r3_legit_extreme_emergency,triage4,2,647.7094213611111,47.486744461674775,945.723244678,43.20972833631746,1680
R3,r3_legit_extreme_emergency,triage4,3,762.8900143833334,47.55815680950632,1058.701194848,44.52864163415075,1680
R3,r3_legit_extreme_emergency,triage4,4,284.07796634444446,42.66306254254072,19923.089195014,208.79777211864442,1590
R3,r3_legit_extreme_emergency,triage4,5,390.87061322222223,42.65602719440019,20272.199447916,199.1323773414926,1590
