sweep_type,fpr,fnr,scenario,n_runs,tp_latency_mean,tp_latency_ci_lower,tp_latency_ci_upper,fn_demotion_latency_mean,fn_demotion_latency_ci_lower,fn_demotion_latency_ci_upper,fp_alarm_latency_mean,fp_alarm_latency_ci_lower,fp_alarm_latency_ci_upper,aap_activations_mean,aap_activations_ci_lower,aap_activations_ci_upper,n_true_positives_mean,n_false_negatives_mean,n_false_positives_mean,tp_latency_baseline
fpr_sweep,0.0,0.0,legit_extreme_emergency,20,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.19630012693736848
fpr_sweep,0.05,0.0,legit_extreme_emergency,20,0.19825368102225244,0.17302314255750073,0.22348421948700414,0.0,0.0,0.0,0.021338995779990513,0.015754200098376102,0.026923791461604923,0.0,0.0,0.0,30.0,0.0,14.7,0.19630012693736848
fpr_sweep,0.1,0.0,legit_extreme_emergency,20,0.20342195824963386,0.17762011709609296,0.22922379940317475,0.0,0.0,0.0,0.020262735778585773,0.015164318899156355,0.02536115265801519,0.0,0.0,0.0,30.0,0.0,31.05,0.19630012693736848
fpr_sweep,0.2,0.0,legit_extreme_emergency,20,0.212226786102297,0.18456551722309694,0.23988805498149707,0.0,0.0,0.0,0.0212553127311478,0.0173381471713883,0.0251724782909073,0.0,0.0,0.0,30.0,0.0,61.45,0.19630012693736848
fpr_sweep,0.3,0.0,legit_extreme_emergency,20,0.2186051904014233,0.18810086429937345,0.24910951650347313,0.0,0.0,0.0,0.02121756445515627,0.017186020903436214,0.02524910800687633,0.35,0.12097224312031254,0.5790277568796874,30.0,0.0,91.75,0.19630012693736848
fpr_sweep,0.5,0.0,legit_extreme_emergency,20,0.2350272493596363,0.20338381261147337,0.2666706861077992,0.0,0.0,0.0,0.02355672728871393,0.01953313494213059,0.027580319635297272,1.0,1.0,1.0,30.0,0.0,151.95,0.19630012693736848
fpr_sweep,0.0,0.0,alarm_flood_attack,20,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,200.0,0.0,0.0,0.21986990675147444
fpr_sweep,0.05,0.0,alarm_flood_attack,20,0.22611049465087923,0.1726391858976929,0.2795818034040656,0.0,0.0,0.0,0.061261164740156124,0.040547135065761186,0.08197519441455106,1.0,1.0,1.0,200.0,0.0,2.0,0.21986990675147444
fpr_sweep,0.1,0.0,alarm_flood_attack,20,0.2370370335557757,0.18202449592760894,0.2920495711839425,0.0,0.0,0.0,0.048032761597367565,0.03829260554079196,0.05777291765394317,1.0,1.0,1.0,200.0,0.0,5.35,0.21986990675147444
fpr_sweep,0.2,0.0,alarm_flood_attack,20,0.25958858869525414,0.19682688462723882,0.32235029276326943,0.0,0.0,0.0,0.046405331776200084,0.037577392916774435,0.055233270635625734,1.0,1.0,1.0,200.0,0.0,10.4,0.21986990675147444
fpr_sweep,0.3,0.0,alarm_flood_attack,20,0.2915897327672335,0.22382931503334091,0.35935015050112606,0.0,0.0,0.0,0.04119009984044549,0.03436071719315975,0.04801948248773123,1.0,1.0,1.0,200.0,0.0,15.75,0.21986990675147444
fpr_sweep,0.5,0.0,alarm_flood_attack,20,0.3390884835835243,0.2683150835706428,0.40986188359640574,0.0,0.0,0.0,0.05546662935245335,0.04194254386303751,0.0689907148418692,1.0,1.0,1.0,200.0,0.0,25.05,0.21986990675147444
fnr_sweep,0.0,0.0,legit_extreme_emergency,20,0.19630012693736848,0.1709573554072014,0.22164289846753557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.19630012693736848
fnr_sweep,0.0,0.05,legit_extreme_emergency,20,0.19104700095519894,0.16534988237161766,0.21674411953878023,0.31738520487956656,0.15117158887180288,0.48359882088733025,0.0,0.0,0.0,0.0,0.0,0.0,28.8,1.2,0.0,0.19630012693736848
fnr_sweep,0.0,0.1,legit_extreme_emergency,20,0.18450033547208566,0.1593465360489672,0.20965413489520413,0.4046920344131138,0.2838033483039245,0.5255807205223031,0.0,0.0,0.0,0.0,0.0,0.0,27.2,2.8,0.0,0.19630012693736848
fnr_sweep,0.0,0.2,legit_extreme_emergency,20,0.16907174402687938,0.1427797143895888,0.19536377366416996,0.41926747418555876,0.3352376238540827,0.5032973245170348,0.0,0.0,0.0,0.0,0.0,0.0,24.25,5.75,0.0,0.19630012693736848
fnr_sweep,0.0,0.3,legit_extreme_emergency,20,0.1560876935838121,0.13200407528263497,0.18017131188498925,0.4147365396559136,0.3425640865247992,0.48690899278702804,0.0,0.0,0.0,0.0,0.0,0.0,21.3,8.7,0.0,0.19630012693736848
fnr_sweep,0.0,0.5,legit_extreme_emergency,20,0.12237141642283358,0.09492894023160767,0.1498138926140595,0.37513709843101534,0.3187727043032268,0.4315014925588039,0.0,0.0,0.0,0.0,0.0,0.0,14.5,15.5,0.0,0.19630012693736848
fnr_sweep,0.0,0.0,alarm_flood_attack,20,0.21986990675147444,0.16805604374216446,0.27168376976078445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,200.0,0.0,0.0,0.21986990675147444
fnr_sweep,0.0,0.05,alarm_flood_attack,20,0.19345468816550127,0.1490654631848877,0.23784391314611483,5.951164796815269,5.368432675598931,6.5338969180316075,0.0,0.0,0.0,1.0,1.0,1.0,190.0,10.0,0.0,0.21986990675147444
fnr_sweep,0.0,0.1,alarm_flood_attack,20,0.18696245393664732,0.1475741957724499,0.22635071210084473,5.977021529585381,5.494395795561557,6.459647263609204,0.0,0.0,0.0,1.0,1.0,1.0,179.55,20.45,0.0,0.21986990675147444
fnr_sweep,0.0,0.2,alarm_flood_attack,20,0.13758664779613514,0.11289413750880728,0.162279158083463,5.986204466282244,5.3716097174914665,6.600799215073021,0.0,0.0,0.0,1.0,1.0,1.0,159.6,40.4,0.0,0.21986990675147444
fnr_sweep,0.0,0.3,alarm_flood_attack,20,0.11009440861383504,0.09405363494883216,0.1261351822788379,5.503602873082921,4.781888042181556,6.225317703984286,0.0,0.0,0.0,1.0,1.0,1.0,140.05,59.95,0.0,0.21986990675147444
fnr_sweep,0.0,0.5,alarm_flood_attack,20,0.06408856196863809,0.057617860336534106,0.07055926360074206,5.813293785705541,5.471116364181434,6.155471207229649,0.0,0.0,0.0,1.0,1.0,1.0,97.85,102.15,0.0,0.21986990675147444
